name,department,profile_link,snippet,num_publications
"Toward Enduring, Global Access to Catholic Research Resources",Computer Science,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203885956-7/toward-enduring-global-access-catholic-research-resources-ruth-bogan-diane-maher-edward-starkey-jennifer-younger,"… They are the 230 Catholic colleges and universities in the … As we saw in the previous search, Google Scholar retrieved … The author points also to the Library of Congress and states …",1
"The Catholic university—Identity, mission, and responsibilities",Computer Science,https://link.springer.com/chapter/10.1007/978-3-030-77532-2_9,"… be extended to Catholic-inspired universities, although without formally using the title Catholic. To this end, we begin by presenting a brief historical evolution of Catholic University (CU) …",1
The best way for Catholic universities to preserve Catholic identity? Hire Catholics.,Computer Science,https://go.gale.com/ps/i.do?id=GALE%7CA695791945&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00027049&p=AONE&sw=w,"… the Catholic university of the future, Dr. Camosy himself apparently takes the modern, secular, liberal research university … and Catholic traditions assumes that their authors can speak to …",1
"… .(The Catholic University of America Studies in Medieval and Renaissance Latin, vol. II.) Pp. xx+ 212. Washington, DC: The Catholic University of America, 1934 …",Computer Science,https://www.cambridge.org/core/journals/classical-review/article/odonnell-james-francis-the-vocabulary-of-the-letters-of-saint-gregory-the-great-a-study-in-late-latin-lexicography-the-catholic-university-of-america-studies-in-medieval-and-renaissance-latin-vol-ii-pp-xx-212-washington-dc-the-catholic-university-of-america-1934-paper/EC01EC9861AEB0441C399992EA1E7658,"… The whole is undoubtedly the work of one author, but the first four'Visions' are distinct from the rest, and may be separated from them by quite a long interval of time. Now a calculation of …",1
Catholic in name only,Computer Science,https://go.gale.com/ps/i.do?id=GALE%7CA345774865&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=08954852&p=AONE&sw=w,"… the Catholic University of America, seventy-eight faculty members from Catholic colleges and … being written by guest authors. The perspectives and opinions presented are those of the …",1
The open circle: The Catholic university and academic freedom,Computer Science,https://link.springer.com/chapter/10.1007/978-3-319-39787-0_3,… Catholic colleges and universities understand the strengths and limitations of the AAUP’s definition of academic freedom? If Catholic colleges … do they need to do to remain Catholic? …,1
Pope Francis has changed the mission for Catholic colleges and universities.,Computer Science,https://go.gale.com/ps/i.do?id=GALE%7CA784042177&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00278939&p=AONE&sw=w,… pope and Catholic colleges and universities gives us important … between different kinds of Catholic colleges and universities--… Catholic university system and public or state university …,1
Is a Catholic university a good 'idea'? Reflections on Catholic higher education from a Newmanian perspective,Computer Science,https://journals.sagepub.com/doi/abs/10.1177/0021140014552163,… the ‘idea’ of a Catholic university and situates his thought in this … ’s approach to the Catholic university as a place where all … The authors acknowledge that their typology is by no means …,1
Thirty years of clinical magnetocardiography at the Catholic University of Rome: Diagnostic value and new perspectives for the treatment of cardiac arrhythmias,Computer Science,https://www.internationaljournalofcardiology.com/article/S0167-5273(13)01463-0/abstract,"… However, as concerns cardiac arrhythmias, we regrettably noticed that the research work carried out, since 1981, at the Catholic University in Rome, documented by multiple …",1
Oliveira Lima and the Oliveira Lima Library at the Catholic University of America,Computer Science,https://oxfordre.com/latinamericanhistory/display/10.1093/acrefore/9780199366439.001.0001/acrefore-9780199366439-e-648,"… He was the author of numerous books and … the Catholic University of America in 1916. In 1920, he established residence in Washington, DC to oversee the organization of the university’…",1
